STATE;RELIGIOUS_POPULATION
AL;77
MS;77
TN;73
LA;71
AR;70
SC;70
WV;69
GA;66
OK;66
NC;65
TX;64
UT;64
KY;63
VA;61
MO;60
SD;59
OH;58
NM;57
IA;55
KS;55
NJ;55
FL;54
IN;54
MD;54
NE;54
WY;54
AZ;53
DC;53
MI;53
ND;53
PA;53
DE;52
ID;51
IL;51
CA;49
MN;49
NV;49
RI;49
MT;48
OR;48
CO;47
HI;47
NY;46
AK;45
WA;45
WI;45
CT;43
ME;34
VT;34
MA;33
NH;33

