STATE;MEDIAN_AGE
AL;38.7
AK;33.3
AZ;37.4
AR;37.9
CA;36.2
CO;36.4
CT;40.6
DE;39.7
DC;33.8
FL;41.8
GA;36.4
HI;37.7
ID;35.8
IL;37.7
IN;37.5
IA;38.1
KS;36.2
KY;38.8
LA;36.4
ME;44.6
MD;38.3
MA;39.4
MI;39.7
MN;37.9
MS;37
MO;38.4
MT;39.9
NE;36.1
NV;37.8
NH;42.8
NJ;39.6
NM;37.4
NY;38.3
NC;38.4
ND;34.9
OH;39.3
OK;36.3
OR;39.1
PA;40.7
RI;39.7
SC;39
SD;36.9
TN;38.7
TX;34.4
UT;30.6
VT;43.1
VA;37.8
WA;37.5
WV;42.2
WI;39.4
WY;36.5
