BIAS	64.428416
AL	1.528310
AK	9.747344
AZ	-0.939791
AR	-1.896690
CA	-7.377202
CO	-3.538031
CT	4.809107
DE	-5.356608
DC	-16.976133
FL	-2.466923
GA	-5.011049
HI	-7.159419
ID	1.251542
IL	-2.411004
IN	-0.447049
IA	-2.507935
KS	2.060489
KY	5.243827
LA	1.095768
ME	3.424385
MD	-0.179478
MA	1.200398
MI	-2.694322
MN	1.542404
MS	-5.547128
MO	-0.476155
MT	5.508132
NE	5.003450
NV	-4.881892
NH	7.284975
NJ	4.913405
NM	-9.785355
NY	-7.527689
NC	-2.791380
ND	4.454064
OH	-2.457305
OK	2.742582
OR	-1.843003
PA	-0.613844
RI	-5.357107
SC	-0.456719
SD	6.862061
TN	5.772999
TX	0.011672
UT	6.839559
VT	-2.710687
VA	-0.703805
WA	-0.162280
WV	6.296200
WI	-3.798559
WY	20.481867
VALUE	0.544356
NOPOLL	24.872603
MEDIAN_INCOME	-0.000356
RELIGIOUS_POPULATION	0.201771
MEDIAN_AGE	-0.910207
