STATE;MEDIAN_INCOME
AL;41574
AK;67712
AZ;47826
AR;40112
CA;58328
CO;56765
CT;67276
DE;58415
DC;66583
FL;45040
GA;47209
HI;66259
ID;45489
IL;55137
IN;46974
IA;50957
KS;50241
KY;41724
LA;42944
ME;46709
MD;71122
MA;65339
MI;46859
MN;58906
MS;37095
MO;45321
MT;45076
NE;50723
NV;49760
NH;63280
NJ;69667
NM;42558
NY;56448
NC;45150
ND;53585
OH;46829
OK;44312
OR;49161
PA;51230
RI;54554
SC;43107
SD;48362
TN;42764
TX;50740
UT;57049
VT;52977
VA;61741
WA;57573
WV;40196
WI;51059
WY;54901

